Address,,Price,IntPrice,,,Address,Price,,,
"3115 Broadway, #42",1 bd / 1 ba / 650 ft2,$379K,379,,,"3115 Broadway, #42",$379K,,,
"3115 Broadway, #43 ",1 bd / 1 ba / 650 ft2,$425K,425,,,"3115 Broadway, #43 ",$425K,,,
"3117 Broadway, #56",1 bd / 1 ba / 500 ft2,$450K,450,,,"3117 Broadway, #56",$450K,,,
"510 West 123rd Street, #38 ",1 bd / 1 ba / 700 ft2,$450K,450,,,"510 West 123rd Street, #38 ",$450K,,,
"175 Claremont Avenue, #3",1 bd / 1 ba,$499K,499,,,"175 Claremont Avenue, #3",$499K,,,
"80 La Salle Street, #14D ",1 bd / 1 ba,$529K,529,,,"80 La Salle Street, #14D ",$529K,,,
"609 West 114th Street, #36 ",1 bd / 1 ba / 600 ft2,$535K,535,,,"609 West 114th Street, #36 ",$535K,,,
"80 La Salle Street, #21B ",1 bd / 1 ba / 725 ft2,$535K,535,,,"80 La Salle Street, #21B ",$535K,,,
"80 La Salle Street, #20C ",1 bd / 1 ba,$545K,545,,,"80 La Salle Street, #20C ",$545K,,,
"380 Riverside Drive, #6B ",1 bd / 1 ba,$599K,599,,,"380 Riverside Drive, #6B ",$599K,,,
"545 West 111th Street, #9N ",1 bd / 1 ba / 650 ft2,$665K,665,,,"545 West 111th Street, #9N ",$665K,,,
"528 West 111th Street, #24 ",1 bd / 1 ba,$675K,675,,,"528 West 111th Street, #24 ",$675K,,,
"535 West 110th Street, #6A ",1 bd / 1 ba / 750 ft2,$699K,699,,,"535 West 110th Street, #6A ",$699K,,,
"395 Riverside Drive, #2D ",1 bd / 1 ba / 900 ft2,$699K,699,,,"395 Riverside Drive, #2D ",$699K,,,
"380 Riverside Drive, #8L",1 bd / 1 ba / 700 ft2,$725K,725,,,"380 Riverside Drive, #8L",$725K,,,
"535 West 110th Street, #6B",1 bd / 1 ba / 750 ft2,$725K,725,,,"535 West 110th Street, #6B",$725K,,,
"390 Riverside Drive, #4G",1 bd / 1 ba / 800 ft2,$745K,745,,,"390 Riverside Drive, #4G",$745K,,,
"395 Riverside Drive, #4E ",1 bd / 1 ba,$799K,799,,,"395 Riverside Drive, #4E ",$799K,,,